Utilization,InferabilityRate,TaskCount
0.027418723,0,5
0.030990792,0.389848553,5
0.040223297,0.390704935,5
0.041915371,0.39119746,5
0.042212536,0.050384619,5
0.04358309,0.600927841,5
0.046075474,0.394040885,5
0.058416801,0.394494252,5
0.060835679,0.431705174,5
0.065725777,0.521448221,5
0.068923991,0.399710894,5
0.072609765,0.403316124,5
0.076377588,0.403618855,5
0.077288595,0.021332357,5
0.088611184,0,5
0.091534265,0.408162471,5
0.107920197,0.843179172,5
0.114504444,0.409949322,5
0.115344372,0.411064257,5
0.128794897,0.412227131,5
0.130251632,0.413887592,5
0.140164892,0.416906114,5
0.150899512,0.799176324,5
0.152912291,0.418879536,5
0.15687219,0.421334359,5
0.157179153,0.421383812,5
0.157449553,0.422638266,5
0.163909173,0.424895342,5
0.065025384,0.75632979,5
0.135813982,0.884918626,5
0.096524871,0,5
0.069528779,0.102496353,5
0.037844419,0,5
0.10634385,0.431509249,5
0.147283637,0.432001128,5
0.117683529,0.432059597,5
0.025635833,0.433211644,5
0.040675335,0.597491566,5
0.085321639,0.434737685,5
0.081069745,0.2867614,5
0.17876265,0.43512,5
0.060036837,0.436221597,5
0.178426811,0.563479188,5
0.039573765,0.441660231,5
0.16367619,0,5
0.091774151,0,5
0.101778944,0.444889351,5
0.101971518,0.632151248,5
0.171114694,0.446900946,5
0.094469086,0.898613008,5
0.125069655,0.448179308,5
0.077047844,0,5
0.171863177,0,5
0.091503728,0.630925543,5
0.020734186,0.841274719,5
0.132733418,0.45530411,5
0.140045354,0.455720147,5
0.116011662,0.456144266,5
0.091823028,0.459724329,5
0.059548641,0.459941337,5
0.036967556,0.460519823,5
0.068527302,0.46149791,5
0.153002413,0.463872445,5
0.042933896,0,5
0.061331296,0.464542201,5
0.124371812,0.465708753,5
0.168403124,0.466640737,5
0.085730933,0,5
0.077896946,0.469180486,5
0.15328805,0.137786056,5
0.086613817,0.229775793,5
0.129050334,0.473296937,5
0.094716375,0.517542653,5
0.042653133,0.476613387,5
0.086885052,0.476757747,5
0.031324478,0.479424416,5
0.166068573,0.480075714,5
0.042711861,0.480552891,5
0.128682869,0.901101628,5
0.17558241,0.480815776,5
0.023264149,0,5
0.049603791,0.151555292,5
0.051224212,0.486891821,5
0.06174227,0.486955487,5
0.0667316,0.487886679,5
0.080343734,0.522840814,5
0.088096243,0.48967208,5
0.088536443,0.489778999,5
0.094402267,0,5
0.097859479,0.491158597,5
0.133676207,0.492808529,5
0.145335539,0.493496805,5
0.150823843,0.494514331,5
0.152462842,0,5
0.154810264,0.495566572,5
0.155180248,0.498142031,5
0.161052781,0.498328501,5
0.163117073,0.498739201,5
0.163953411,0.498896964,5
0.167778939,0.501989587,5
0.225621982,0.779334242,5
0.232031195,0.428591125,5
0.241717572,0,5
0.251156187,0.819839656,5
0.254842926,0.430849452,5
0.259538638,0.432040973,5
0.265726996,0.434052617,5
0.267136878,0.434170127,5
0.285309964,0.434830606,5
0.287203579,0.436593396,5
0.297687202,0.436887903,5
0.299551237,0.437030178,5
0.301725,0.438877073,5
0.314359544,0.440597232,5
0.315728212,0.441284198,5
0.329903626,0.44336905,5
0.336607953,0.44424274,5
0.361786668,0.449384818,5
0.362770175,0.450355444,5
0.366634044,0.451612691,5
0.368462548,0.152580023,5
0.372908452,0.454105217,5
0.374737238,0.454300292,5
0.37926464,0.455034367,5
0.343991943,0,5
0.30022396,0.45983638,5
0.268461788,0.463512397,5
0.359916036,0.463733052,5
0.267461767,0.137421794,5
0.25805461,0.464876806,5
0.246277864,0.904374564,5
0.263281249,0.465701128,5
0.322240112,0.887426696,5
0.262610894,0.467847694,5
0.267604879,0.467906572,5
0.294133306,0.469464176,5
0.310501126,0.126347357,5
0.254427061,0.471184771,5
0.299408425,0.471393253,5
0.340255297,0,5
0.297466199,0.488174144,5
