Schedule,Inference Ratio
Schedule 1,0.3
Schedule 2,0.3
Schedule 3,0.7
Schedule 4,0.15
Schedule 5,1.1
Schedule 6,0.75
Schedule 7,0.21052631578947367
Schedule 8,0.4
Schedule 9,0.2
Schedule 10,0.1
Schedule 11,0.6
Schedule 12,0.85
Schedule 13,0.35
Schedule 14,0.6
Schedule 15,0.3
Schedule 16,0.4
Schedule 17,1.75
Schedule 18,1.6
Schedule 19,0.5
Schedule 20,0.5
Schedule 21,0.45
Schedule 22,0.45
Schedule 23,0.6
Schedule 24,0.5
Schedule 25,0.5789473684210527
Schedule 26,0.3
Schedule 27,0.7
Schedule 28,0.4
Schedule 29,1.9
Schedule 30,1.6
Schedule 31,0.35
Schedule 32,0.4
Schedule 33,0.15
Schedule 34,0.7
Schedule 35,1.75
Schedule 36,1.55
Schedule 37,0.15
Schedule 38,0.3157894736842105
Schedule 39,0.35
Schedule 40,0.45
Schedule 41,1.0
Schedule 42,1.4
Schedule 43,0.35
Schedule 44,0.2
Schedule 45,0.35
Schedule 46,0.3
Schedule 47,0.95
Schedule 48,0.5
Schedule 49,0.45
Schedule 50,0.2
Schedule 51,0.35
Schedule 52,0.5
Schedule 53,1.75
Schedule 54,1.4
Schedule 55,0.3333333333333333
Schedule 56,0.2
Schedule 57,0.2
Schedule 58,0.2
Schedule 59,0.85
Schedule 60,0.45
Schedule 61,0.4
Schedule 62,0.4
Schedule 63,0.45
Schedule 64,0.6
Schedule 65,2.15
Schedule 66,2.0
Schedule 67,0.45
Schedule 68,0.35
Schedule 69,0.4
Schedule 70,0.45
Schedule 71,1.25
Schedule 72,1.6
Schedule 73,0.65
Schedule 74,0.45
Schedule 75,0.8
Schedule 76,0.8
Schedule 77,1.65
Schedule 78,2.15
Schedule 79,0.4
Schedule 80,0.55
Schedule 81,0.2
Schedule 82,0.4
Schedule 83,1.2
Schedule 84,1.7
Schedule 85,0.8
Schedule 86,1.1
Schedule 87,1.2
Schedule 88,1.3
Schedule 89,3.15
Schedule 90,3.55
Schedule 91,0.6
Schedule 92,1.0
Schedule 93,0.85
Schedule 94,0.631578947368421
Schedule 95,1.8
Schedule 96,1.45
Schedule 97,0.85
Schedule 98,1.05
Schedule 99,1.15
Schedule 100,1.1
Schedule 1,0.2
Schedule 2,0.2
Schedule 3,0.4666666666666667
Schedule 4,0.1
Schedule 5,0.7333333333333333
Schedule 6,0.5
Schedule 7,0.16
Schedule 8,0.3076923076923077
Schedule 9,0.18181818181818182
Schedule 10,0.09090909090909091
Schedule 11,0.5454545454545454
Schedule 12,0.7727272727272727
Schedule 13,0.23333333333333334
Schedule 14,0.4
Schedule 15,0.2
Schedule 16,0.26666666666666666
Schedule 17,1.1666666666666667
Schedule 18,1.0666666666666667
Schedule 19,0.38461538461538464
Schedule 20,0.38461538461538464
Schedule 21,0.4090909090909091
Schedule 22,0.4090909090909091
Schedule 23,0.5454545454545454
Schedule 24,0.45454545454545453
Schedule 25,0.3793103448275862
Schedule 26,0.2
Schedule 27,0.4666666666666667
Schedule 28,0.26666666666666666
Schedule 29,1.2666666666666666
Schedule 30,1.0666666666666667
Schedule 31,0.23333333333333334
Schedule 32,0.26666666666666666
Schedule 33,0.1
Schedule 34,0.4666666666666667
Schedule 35,1.1666666666666667
Schedule 36,1.0333333333333334
Schedule 37,0.1111111111111111
Schedule 38,0.23076923076923078
Schedule 39,0.25925925925925924
Schedule 40,0.3333333333333333
Schedule 41,0.7407407407407407
Schedule 42,1.037037037037037
Schedule 43,0.2692307692307692
Schedule 44,0.15384615384615385
Schedule 45,0.3181818181818182
Schedule 46,0.2727272727272727
Schedule 47,0.7307692307692307
Schedule 48,0.38461538461538464
Schedule 49,0.3
Schedule 50,0.13333333333333333
Schedule 51,0.25925925925925924
Schedule 52,0.37037037037037035
Schedule 53,1.2962962962962963
Schedule 54,1.037037037037037
Schedule 55,0.23076923076923078
Schedule 56,0.15384615384615385
Schedule 57,0.19047619047619047
Schedule 58,0.18181818181818182
Schedule 59,0.6538461538461539
Schedule 60,0.34615384615384615
Schedule 61,0.26666666666666666
Schedule 62,0.26666666666666666
Schedule 63,0.3333333333333333
Schedule 64,0.4444444444444444
Schedule 65,1.5925925925925926
Schedule 66,1.4814814814814814
Schedule 67,0.3333333333333333
Schedule 68,0.25925925925925924
Schedule 69,0.2962962962962963
Schedule 70,0.3333333333333333
Schedule 71,0.9259259259259259
Schedule 72,1.1851851851851851
Schedule 73,0.43333333333333335
Schedule 74,0.3
Schedule 75,0.5333333333333333
Schedule 76,0.5333333333333333
Schedule 77,1.1
Schedule 78,1.4333333333333333
